Student_id,Study_hours,Sleep_hours,Attendance,Phone_usage,Assignment_completed,Breaks_taken,Previous_scores,Test_scores
189,8,3,71.0,8.0,0,0,54,53.15722334031388
6,7,5,37.0,9.0,3,0,33,57.2003948616394
163,1,6,48.0,15.0,9,10,78,62.866194716021134
62,6,6,74.0,10.0,5,1,94,82.33860077063143
84,9,3,21.0,7.0,8,0,14,45.80852779770908
181,9,4,24.0,6.0,8,0,76,78.44303734349688
52,9,2,40.0,7.0,7,0,45,70.9354805160317
72,7,5,49.0,9.0,5,0,53,71.4994073745308
28,2,4,43.0,13.0,8,8,58,53.03280791898712
147,6,4,8.0,10.0,9,0,46,57.45700492613845
198,3,6,18.0,13.0,1,7,21,21.957736354782558
38,2,4,71.0,14.0,0,8,0,16.27882159088232
197,8,3,34.0,7.0,1,0,55,59.52379044060799
49,3,2,65.0,13.0,8,6,45,41.685477585414944
24,1,5,94.0,14.0,7,10,28,37.75182839610278
91,6,5,66.0,9.0,0,1,37,49.12981659987524
33,6,3,79.0,9.0,6,0,47,59.33752510867171
184,9,2,89.0,7.0,9,0,2,62.132181310674014
176,4,3,26.0,12.0,1,5,43,42.198443884769176
46,5,3,99.0,10.0,2,2,53,53.14574962947444
93,8,5,92.0,7.0,4,0,46,75.04013481123624
40,10,6,72.0,6.0,8,0,77,100.0
161,3,3,51.0,13.0,1,6,12,14.94027600897138
127,7,5,59.0,8.0,2,0,48,64.91162353452113
98,2,3,55.0,14.0,1,9,93,48.05195777024724
8,3,3,71.0,12.0,3,6,74,52.09019117423912
18,4,3,37.0,12.0,4,4,16,32.16711006824778
192,4,5,39.0,11.0,8,5,19,54.19168069280972
45,3,4,49.0,12.0,1,7,94,68.65702836063696
123,2,5,65.0,13.0,6,9,67,60.074907201599416
151,1,6,40.0,14.0,8,10,69,42.277801923998666
105,6,6,38.0,9.0,0,0,83,68.92129044661587
56,4,2,10.0,12.0,3,5,80,35.760112668734735
99,1,4,73.0,14.0,2,10,16,32.348154666257145
92,5,4,60.0,11.0,5,2,64,57.97622689868532
35,7,6,13.0,8.0,9,0,77,80.8366245990785
70,2,6,6.0,14.0,8,8,34,32.02791636667066
160,9,3,53.0,7.0,6,0,28,59.375293423168856
164,3,3,76.0,13.0,6,6,73,61.40098726078597
173,5,4,72.0,10.0,2,2,3,40.904610338802
122,4,4,7.0,11.0,9,4,17,20.768109012611493
21,6,2,22.0,10.0,3,1,53,36.97375950856992
59,5,3,19.0,10.0,6,2,78,49.94810199505625
75,6,4,7.0,10.0,5,0,39,46.50647523627707
158,6,2,48.0,10.0,8,0,79,71.79850334869666
61,7,2,39.0,8.0,8,0,85,80.33365430993001
144,8,2,41.0,8.0,4,0,91,74.18337535843207
145,8,4,83.0,7.0,5,0,42,71.2612075815156
141,4,6,79.0,12.0,6,4,95,78.11111096594523
200,4,4,25.0,12.0,8,4,89,62.580349774962606
4,3,5,72.0,12.0,6,6,90,56.36867834532423
23,3,4,47.0,13.0,1,6,43,37.863185373764
15,10,5,45.0,5.0,0,0,38,65.88735151163868
114,5,5,77.0,11.0,4,3,55,68.47365815473232
30,6,5,29.0,9.0,0,0,67,58.73390167602397
137,2,6,9.0,14.0,8,9,95,60.87081634085843
196,6,6,87.0,10.0,3,1,65,73.21475330091558
77,7,4,56.0,8.0,3,0,23,57.83748749648183
22,8,3,19.0,7.0,2,0,56,53.46169330330664
193,4,4,7.0,12.0,9,5,39,45.54832942412204
167,8,2,23.0,8.0,4,0,33,50.2537351333292
154,5,4,35.0,11.0,4,3,47,46.0778194275898
66,4,6,77.0,11.0,0,5,72,55.38181246981594
74,3,4,32.0,12.0,4,7,22,31.23172741292203
190,8,2,30.0,8.0,7,0,46,60.94663400986384
156,10,6,27.0,5.0,5,0,6,67.6424629344874
143,5,6,4.0,10.0,3,2,39,39.22223480670539
102,10,6,49.0,5.0,1,0,72,80.92318302498288
165,10,3,44.0,5.0,6,0,13,62.21333673386621
10,1,5,52.0,14.0,2,10,19,20.683432103643
149,10,2,21.0,5.0,6,0,27,53.15062109088829
178,5,5,92.0,10.0,6,2,48,64.56324185372969
179,1,4,99.0,14.0,1,10,12,28.21040948524252
48,1,3,76.0,14.0,8,10,18,29.27736701275172
177,5,3,95.0,10.0,7,2,32,55.478789182814594
185,5,6,49.0,11.0,5,3,39,56.09656167445659
175,4,3,9.0,11.0,6,5,99,62.45372517289292
34,5,6,10.0,10.0,5,2,8,27.53029029302469
191,10,2,13.0,5.0,9,0,50,70.39152215433089
37,5,4,83.0,10.0,7,3,46,61.61022395553289
136,7,2,49.0,9.0,8,0,17,50.52564196675972
43,8,6,47.0,8.0,5,0,15,52.37682832235742
25,1,2,82.0,14.0,4,10,20,28.878264571957523
106,6,4,39.0,9.0,4,1,54,48.47375822868828
124,8,4,53.0,7.0,6,0,19,62.67447301746709
42,6,3,84.0,10.0,7,1,31,57.09964936474506
83,3,3,83.0,13.0,8,6,25,47.74854769460898
130,2,6,30.0,13.0,3,8,35,38.58974194743427
140,2,5,60.0,14.0,4,8,26,36.02405206454348
166,2,5,57.0,14.0,9,9,90,61.479603193496224
11,8,4,99.0,8.0,6,0,37,83.05611640748593
168,7,5,47.0,8.0,7,0,95,97.57460897106898
71,5,4,25.0,10.0,6,3,97,75.20693987960338
41,4,4,82.0,11.0,6,4,1,37.02477046277832
120,2,6,47.0,14.0,8,8,32,38.793354551760935
79,1,4,67.0,14.0,7,10,81,50.23836666557922
188,10,4,52.0,5.0,2,0,0,42.17352629811269
51,7,6,21.0,9.0,0,0,25,45.71761399439124
180,8,6,81.0,7.0,0,0,68,79.48543450770707
58,5,5,30.0,11.0,5,3,98,78.08581652451778
44,1,3,14.0,14.0,4,10,3,4.654701068597784
29,10,6,10.0,6.0,5,0,36,70.6971534974441
125,7,4,21.0,8.0,4,0,19,37.199126466913874
86,3,4,30.0,12.0,0,6,60,35.743507784210784
148,4,2,55.0,11.0,9,5,30,47.6105778017152
64,2,5,29.0,14.0,3,9,78,46.41993929615328
67,3,3,13.0,12.0,4,7,48,29.011752982789947
128,1,4,91.0,15.0,0,10,7,23.947020718662525
195,8,5,64.0,8.0,7,0,75,86.01506331315862
133,10,4,25.0,5.0,2,0,9,45.697682909171895
172,7,2,77.0,9.0,3,0,5,40.025256942189245
115,9,4,88.0,6.0,6,0,76,97.09305028137652
87,4,6,73.0,12.0,6,5,14,53.92983939529036
16,2,4,67.0,14.0,0,9,68,36.01589890065777
155,4,4,63.0,11.0,0,5,87,63.49790418665833
126,3,6,94.0,12.0,0,7,61,55.140404981419145
134,7,2,76.0,8.0,9,0,72,81.62053651194311
32,3,3,53.0,12.0,9,6,1,23.003876230913907
131,5,3,24.0,11.0,6,3,49,42.32747413487464
9,9,6,72.0,7.0,5,0,53,88.15474915110462
187,5,2,68.0,10.0,1,2,46,42.17463919367703
111,1,2,96.0,15.0,7,10,22,35.80264600764543
162,2,4,37.0,13.0,9,9,85,62.16599065484191
27,5,5,78.0,10.0,2,2,70,64.52575887351878
186,1,3,18.0,14.0,4,10,6,0.4137196825409965
76,10,3,51.0,5.0,6,0,69,100.0
2,6,4,2.0,9.0,6,0,44,54.04107564256908
26,10,2,5.0,6.0,4,0,76,69.64102015352589
63,3,3,51.0,13.0,3,6,74,38.1881149334568
81,6,4,96.0,10.0,4,0,71,66.17102272016923
199,9,4,69.0,7.0,3,0,8,51.8073136837795
80,5,4,74.0,10.0,3,3,54,52.88046755442759
110,7,2,82.0,8.0,9,0,40,61.405976434969794
107,8,2,36.0,7.0,9,0,2,33.085273570029855
139,10,3,75.0,6.0,7,0,79,86.63924180281771
