Student_id,Study_hours,Sleep_hours,Attendance,Phone_usage,Assignment_completed,Breaks_taken,Previous_scores,Test_scores
58,6,50,18,7.0,9,0,95,74.0
166,8,3,15,4.0,0,0,5,38.5
23,2,4,9,11.0,2,8,17,0.0
181,5,4,77,8.0,6,3,15,91.5
188,8,5,86,,1,0,64,100.0
161,10,3,91,2.0,7,0,6,100.0
88,4,50,76,9.0,3,5,53,90.4
135,2,2,77,11.0,9,9,66,80.3
64,3,4,34,9.0,5,6,37,39.6
141,4,5,68,9.0,8,5,82,98.6
194,2,6,19,10.0,6,9,90,35.0
136,6,5,68,,6,0,80,100.0
46,5,5,82,8.0,7,3,62,100.0
36,6,6,44,7.0,3,0,52,80.1
66,3,4,91,10.0,4,7,52,95.6
51,5,6,53,7.0,1,2,12,67.1
126,2,6,83,10.0,8,8,40,89.0
99,4,3,99,9.0,1,5,3,91.4
17,3,4,23,10.0,8,6,12,23.6
20,2,6,97,11.0,6,9,30,93.0
109,5,3,4,8.0,7,2,32,25.1
45,6,5,46,7.0,2,0,41,75.3
69,9,2,70,4.0,0,0,11,96.3
77,4,5,77,8.0,7,5,27,91.6
142,2,3,89,10.0,2,9,17,71.1
113,3,50,95,9.0,2,7,60,97.0
11,7,3,44,6.0,3,0,38,74.9
85,6,5,78,6.0,4,1,31,100.0
12,8,3,22,4.0,4,0,38,61.4
56,2,6,15,10.0,6,8,17,11.1
89,4,2,73,8.0,4,5,97,98.1
177,10,4,78,2.0,9,0,94,100.0
112,4,2,18,8.0,3,5,99,42.2
137,6,3,13,7.0,2,0,68,46.4
10,1,6,63,12.0,4,10,57,57.099999999999994
138,8,2,36,5.0,3,0,71,79.8
33,3,6,56,9.0,3,7,53,65.4
30,7,6,53,5.0,4,0,92,100.0
40,1,6,89,11.0,7,10,75,95.0
186,2,3,26,10.0,2,8,35,15.5
57,1,5,42,12.0,3,10,75,38.0
187,5,3,15,7.0,4,3,23,28.9
195,7,6,3,6.0,6,0,75,55.5
92,6,6,8,6.0,3,1,22,35.1
60,7,6,56,6.0,7,0,2,88.1
175,5,3,46,7.0,0,2,8,51.4
37,10,3,89,2.0,2,0,92,100.0
178,8,3,67,4.0,2,0,41,100.0
110,4,50,2,9.0,3,4,42,9.1
192,5,5,twenty,7.0,8,2,72,78.6
49,3,6,38,10.0,4,7,0,31.0
97,9,4,11,3.0,5,0,27,55.6
76,10,2,77,2.0,7,0,22,100.0
152,9,50,55,4.0,7,0,98,100.0
81,3,5,3,9.0,9,6,30,14.5
100,9,3,26,3.0,5,0,63,79.4
125,9,2,81,4.0,2,0,51,100.0
155,5,6,45,8.0,9,2,6,67.3
118,9,2,46,4.0,4,0,88,100.0
86,1,2,64,12.0,6,10,48,50.4
2,5,4,5,7.0,7,2,0,20.5
114,8,4,92,5.0,0,0,43,100.0
165,10,5,77,3.0,0,0,93,100.0
83,6,6,14,7.0,0,1,34,38.2
19,10,4,24,2.0,3,0,13,66.4
196,7,5,58,5.0,1,0,4,81.7
55,5,50,83,7.0,6,3,43,100.0
189,7,5,41,,5,0,13,73.4
29,4,6,76,9.0,0,5,30,81.0
128,1,4,7,11.0,8,10,71,9.3
190,7,4,15,5.0,1,0,25,43.0
50,4,2,98,8.0,3,4,40,100.0
95,2,3,9,10.0,4,9,89,15.7
21,5,5,52,7.0,3,2,26,71.3
38,2,3,64,11.0,9,9,57,66.6
80,6,3,95,,0,1,1,100.0
124,2,5,64,10.0,8,9,73,75.9
34,9,2,33,4.0,0,0,41,68.3
8,10,3,20,2.0,3,0,37,67.6
63,4,6,66,,4,4,79,93.7
199,1,2,80,11.0,2,10,61,66.3
200,2,6,8,11.0,2,8,10,0.0
158,5,3,49,7.0,8,2,49,78.7
98,9,4,20,,5,0,96,85.3
111,6,3,12,7.0,1,0,25,31.0
105,5,3,68,7.0,2,3,92,99.6
70,4,5,43,,2,5,60,60.0
91,6,3,25,7.0,1,0,74,58.7
130,1,3,16,11.0,8,10,34,5.199999999999999
61,9,6,47,3.0,5,0,90,100.0
3,8,2,22,5.0,6,0,42,61.6
67,5,5,39,8.0,7,2,86,80.3
151,4,4,52,8.0,2,4,19,56.7
82,4,4,49,8.0,6,4,90,81.0
180,3,6,56,9.0,3,7,32,59.1
143,2,3,5,10.0,8,8,76,15.8
168,8,5,54,5.0,2,0,60,99.0
94,10,4,1,3.0,2,0,23,42.9
173,2,3,0,10.0,0,9,34,0.0
149,3,5,52,10.0,5,7,54,60.7
167,1,4,25,11.0,5,10,7,3.6
120,8,3,9,5.0,4,0,62,53.599999999999994
150,2,3,26,10.0,9,9,32,23.1
139,6,6,89,6.0,2,1,92,100.0
170,3,50,45,10.0,2,6,20,41.0
108,3,5,16,10.0,1,6,23,11.399999999999999
148,2,6,9,10.0,0,8,95,19.5
22,4,5,91,8.0,5,4,65,100.0
1,5,5,44,7.0,2,3,45,65.5
185,4,3,69,9.0,2,5,7,64.1
132,9,50,35,3.0,6,0,97,100.0
153,1,6,71,12.0,9,10,44,68.7
107,7,5,34,6.0,2,0,91,83.3
